size 4000
bitrates 44 86 125 173 212 249 315 369 497 564 764 985 1178 1439 2038 2353 2875 3262 3529 3844
21660 43062 63926 84325 105398 128494 169891 207173 241222 288507 337604 496904 630708 793943 1018071 1255568 1642349 1837708 1946672 2016392
23638 46329 69162 93933 116637 140101 186296 230697 281880 326187 426383 573480 700874 969921 1199869 1444791 1936275 2415787 2828754 3078030
25861 50728 74517 99254 124114 149880 198922 248108 299816 350180 444179 580420 734918 961088 1220164 1456871 1928261 2388604 2897271 3903152
21234 44413 68193 92784 118638 139853 188608 232915 283998 329804 432179 594834 742480 985125 1245197 1497617 2002836 2457076 2793965 3199698
22887 44219 56908 86336 103683 110936 121072 126538 219611 232496 354546 419702 467635 501375 858431 925971 1004536 1041278 1053187 1055687
21174 37995 50191 73558 86986 98419 105488 114639 182108 195615 302861 352350 389008 444154 701816 752699 909241 1028804 1118657 1337734
22892 42589 71842 94265 119172 143054 194565 241936 284848 334800 428704 577989 723227 961906 1217159 1454512 1949736 2458359 2937931 3980993
23038 47401 71464 96034 120166 144058 192018 240259 288784 336816 442952 589960 736287 990950 1242547 1481439 2002295 2522090 3057952 4050736
22063 44573 68253 87038 110682 131822 178636 224426 266242 311430 392204 528520 655785 878518 1116027 1325453 1769523 2225310 2642370 3227810
24164 50342 74928 98870 124307 149667 199964 247934 290930 342236 425152 577928 731661 980500 1202570 1453916 1952221 2198723 2215614 2232289
21946 47250 72208 97560 122246 146726 194903 243285 289631 339926 431433 580463 731923 915067 1190008 1440726 1772516 1774958 1788734 1785968
24773 49282 73092 99142 124286 148344 192367 228502 295657 344840 444517 587156 733302 956123 1186202 1442821 1880023 2051797 2137169 2206955
24636 48950 71808 97540 122266 145819 191604 241027 289368 341359 432273 576366 722999 965248 1221390 1443492 1912877 2457393 2799686 3145332
22923 44880 68666 91245 120365 143016 193715 242159 291963 343025 434701 591342 751619 1002595 1265147 1516762 2024594 2534762 2832528 2872742
22079 39779 46714 76325 86299 89237 95077 98843 167177 170551 300691 313859 318845 333066 619137 635623 655950 674138 720037 716130
23434 44748 57211 85454 98356 108611 120688 129212 211355 222957 347957 429061 466698 493682 988497 1052027 1117256 1152988 1190338 1231822
22512 42571 63007 84814 103481 124653 168299 210910 245942 292379 400185 552134 695897 818282 1185272 1377579 1620641 1673157 1709992 1713970
21676 43556 56458 83076 96086 109599 133834 162977 223471 249346 374615 452650 536307 621546 951159 1069171 1222383 1279121 1318663 1370036
20865 40844 61392 83573 102103 116857 150995 183581 240154 263858 398210 484179 586270 739423 1037960 1188572 1509337 1667484 1773193 1926863
23669 47249 70835 95524 120184 144009 191548 241046 286460 335373 461770 615963 765157 1022921 1273081 1535806 2050103 2567655 3097219 4139165
24475 48747 72068 97149 121487 144975 192563 227873 282676 327789 416653 564958 684557 803623 1122266 1313243 1516616 1577351 1610075 1619681
21610 44912 56560 89257 100473 104693 104669 103036 199081 195464 339111 345721 337952 343865 636311 629555 654307 650574 651379 650867
20924 38678 53698 77051 93636 106286 122158 136304 204996 217385 333710 377101 434764 511793 755102 877466 981087 1049604 1115802 1160655
21494 42575 51745 80677 93962 93422 91925 88435 173402 173455 311645 317322 303154 292979 577788 568325 550890 564376 570167 572511
